GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CheckersGame,com.checkers.Logic,CheckerBoard,2233,1461,317,185,390,191,212,90,33,18
CheckersGame,com.checkers.Logic,Node,76,0,2,0,10,0,3,0,2,0
CheckersGame,com.checkers.Logic,HeuristicUtil,921,0,138,0,176,0,84,0,15,0
CheckersGame,com.checkers.Logic,Chip,0,62,0,4,0,22,0,12,0,10
CheckersGame,com.checkers.Logic,ISProject,8,0,0,0,3,0,2,0,2,0
CheckersGame,com.checkers.Logic,GameEngine,441,0,40,0,90,0,26,0,6,0
CheckersGame,com.checkers.View,BoardPanel,1135,0,50,0,194,0,42,0,17,0
CheckersGame,com.checkers.View,BoardPanel.new ActionListener() {...},11,0,0,0,4,0,2,0,2,0
CheckersGame,com.checkers.View,BoardPanel.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
CheckersGame,com.checkers.View,BoardPanel.new ItemListener() {...},18,0,2,0,5,0,3,0,2,0
CheckersGame,com.checkers.View,BoardPanel.new ItemListener() {...},18,0,2,0,5,0,3,0,2,0
CheckersGame,com.checkers.View,BoardPanel.new MouseAdapter() {...},343,0,58,0,38,0,31,0,2,0
CheckersGame,com.checkers.View,CheckersFrame,70,0,0,0,26,0,10,0,10,0
